Country Or Territory,NUTS1,NUTS1 Name,NUTS2,NUTS2 Name,NUTS3,NUTS3 Name,Urbanisation Degree,Year,Air Pollutant,Scenario,Population,Populated Area [km2],Air Pollution Average [ug/m3],Air Pollution Population Weighted Average [ug/m3],Premature Deaths,Premature Deaths - lower CI,Premature Deaths - upper CI,Years Of Life Lost,Years Of Life Lost - lower CI,Years Of Life Lost - upper CI
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Suburban","2010","PM10","WHO_2021_AQG_Scen_Base","125598","110","25.0","25.1","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Suburban","2010","PM2.5","WHO_2021_AQG_Scen_Base","125598","110","19.6","19.7","134","103","150","1538","1180","1711"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2010","NO2","WHO_2021_AQG_Scen_Base","8379","97","14.3","14.8","1","0","2","9","5","18"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2010","O3","WHO_2021_AQG_Scen_Base","8379","97","4243.3","4156.9","0","0","0","5","4","6"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2010","PM10","WHO_2021_AQG_Scen_Base","8379","97","22.7","23.1","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2010","PM2.5","WHO_2021_AQG_Scen_Base","8379","97","18.2","18.5","8","6","9","95","72","105"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2010","NO2","WHO_2021_AQG_Scen_Sensitivity_2","3337209","801","22.9","27.6","1775","904","3422","20310","10347","39149"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2010","PM2.5","WHO_2021_AQG_Scen_Sensitivity_2","3337209","801","19.6","19.9","4738","3653","5258","54202","41790","60156"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2010","NO2","WHO_2021_AQG_Scen_Sensitivity_2","3203232","594","25.3","28.0","1728","880","3329","19763","10070","38085"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2010","PM2.5","WHO_2021_AQG_Scen_Sensitivity_2","3203232","594","19.8","19.9","4550","3508","5050","52052","40132","57769"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Suburban","2010","NO2","WHO_2021_AQG_Scen_Sensitivity_2","125598","110","17.7","18.6","45","23","88","519","263","1010"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Suburban","2010","PM2.5","WHO_2021_AQG_Scen_Sensitivity_2","125598","110","19.6","19.7","177","136","196","2023","1560","2246"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2010","NO2","WHO_2021_AQG_Scen_Sensitivity_2","8379","97","14.3","14.8","2","1","5","28","14","54"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2010","PM2.5","WHO_2021_AQG_Scen_Sensitivity_2","8379","97","18.2","18.5","11","9","12","127","98","141"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2011","O3","WHO_2005_HRAPIE_Scen_Base","3272742","801","4111.7","4042.0","107","52","158","1255","607","1858"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2011","PM10","WHO_2005_HRAPIE_Scen_Base","3272742","801","23.7","24.4","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2011","PM2.5","WHO_2005_HRAPIE_Scen_Base","3272742","801","19.0","19.5","3674","2444","4780","41591","27669","54110"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2011","O3","WHO_2005_HRAPIE_Scen_Base","3141353","594","4070.9","4040.4","103","50","152","1204","582","1783"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2011","PM10","WHO_2005_HRAPIE_Scen_Base","3141353","594","24.2","24.4","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2011","PM2.5","WHO_2005_HRAPIE_Scen_Base","3141353","594","19.4","19.5","3529","2348","4591","39950","26577","51975"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Suburban","2011","O3","WHO_2005_HRAPIE_Scen_Base","123172","110","4100.0","4066.5","4","2","6","48","23","70"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Suburban","2011","PM10","WHO_2005_HRAPIE_Scen_Base","123172","110","23.8","24.0","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Suburban","2011","PM2.5","WHO_2005_HRAPIE_Scen_Base","123172","110","19.1","19.3","137","91","178","1548","1030","2014"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2011","O3","WHO_2005_HRAPIE_Scen_Base","8217","97","4375.0","4302.3","0","0","0","3","2","5"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2011","PM10","WHO_2005_HRAPIE_Scen_Base","8217","97","20.8","21.4","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2011","PM2.5","WHO_2005_HRAPIE_Scen_Base","8217","97","16.8","17.3","8","5","11","93","62","121"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2011","O3","WHO_2021_AQG_Scen_Base","3272742","801","4111.7","4042.0","158","125","192","1858","1471","2245"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2011","PM10","WHO_2021_AQG_Scen_Base","3272742","801","23.7","24.4","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2011","PM2.5","WHO_2021_AQG_Scen_Base","3272742","801","19.0","19.5","3505","2690","3899","39682","30448","44144"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2011","O3","WHO_2021_AQG_Scen_Base","3141353","594","4070.9","4040.4","152","120","184","1783","1411","2154"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2011","PM10","WHO_2021_AQG_Scen_Base","3141353","594","24.2","24.4","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2011","PM2.5","WHO_2021_AQG_Scen_Base","3141353","594","19.4","19.5","3368","2584","3746","38126","29254","42412"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Suburban","2011","O3","WHO_2021_AQG_Scen_Base","123172","110","4100.0","4066.5","6","5","7","70","56","85"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Suburban","2011","PM10","WHO_2021_AQG_Scen_Base","123172","110","23.8","24.0","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Suburban","2011","PM2.5","WHO_2021_AQG_Scen_Base","123172","110","19.1","19.3","130","100","145","1471","1129","1637"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2011","O3","WHO_2021_AQG_Scen_Base","8217","97","4375.0","4302.3","0","0","1","5","4","6"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2011","PM10","WHO_2021_AQG_Scen_Base","8217","97","20.8","21.4","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2011","PM2.5","WHO_2021_AQG_Scen_Base","8217","97","16.8","17.3","7","6","8","85","65","95"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2011","PM2.5","WHO_2021_AQG_Scen_Sensitivity_2","3272742","801","19.0","19.5","4625","3565","5135","52365","40360","58126"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2011","PM2.5","WHO_2021_AQG_Scen_Sensitivity_2","3141353","594","19.4","19.5","4443","3424","4932","50299","38768","55832"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Suburban","2011","PM2.5","WHO_2021_AQG_Scen_Sensitivity_2","123172","110","19.1","19.3","172","133","191","1949","1502","2164"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2011","PM2.5","WHO_2021_AQG_Scen_Sensitivity_2","8217","97","16.8","17.3","10","8","12","117","90","130"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2012","O3","WHO_2005_HRAPIE_Scen_Base","3277062","801","3403.9","3342.0","90","44","133","1033","499","1530"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2012","PM10","WHO_2005_HRAPIE_Scen_Base","3277062","801","19.9","20.4","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2012","PM2.5","WHO_2005_HRAPIE_Scen_Base","3277062","801","15.2","15.5","3019","2001","3943","33393","22125","43608"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2012","O3","WHO_2005_HRAPIE_Scen_Base","3145500","594","3367.7","3341.4","87","42","128","991","479","1468"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2012","PM10","WHO_2005_HRAPIE_Scen_Base","3145500","594","20.2","20.4","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2012","PM2.5","WHO_2005_HRAPIE_Scen_Base","3145500","594","15.4","15.5","2901","1922","3789","32087","21260","41902"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Suburban","2012","O3","WHO_2005_HRAPIE_Scen_Base","123334","110","3382.7","3342.9","3","2","5","39","19","58"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Suburban","2012","PM10","WHO_2005_HRAPIE_Scen_Base","123334","110","19.9","20.0","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Suburban","2012","PM2.5","WHO_2005_HRAPIE_Scen_Base","123334","110","15.1","15.1","111","74","145","1228","814","1605"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2012","O3","WHO_2005_HRAPIE_Scen_Base","8228","97","3649.2","3571.2","0","0","0","3","1","4"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2012","PM10","WHO_2005_HRAPIE_Scen_Base","8228","97","18.0","18.4","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2012","PM2.5","WHO_2005_HRAPIE_Scen_Base","8228","97","14.1","14.3","7","5","9","78","51","101"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2012","O3","WHO_2021_AQG_Scen_Base","3277062","801","3403.9","3342.0","133","106","161","1529","1210","1848"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2012","PM10","WHO_2021_AQG_Scen_Base","3277062","801","19.9","20.4","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2012","PM2.5","WHO_2021_AQG_Scen_Base","3277062","801","15.2","15.5","2634","2013","2935","29124","22267","32458"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2012","O3","WHO_2021_AQG_Scen_Base","3145500","594","3367.7","3341.4","128","102","155","1467","1161","1773"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2012","PM10","WHO_2021_AQG_Scen_Base","3145500","594","20.2","20.4","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2012","PM2.5","WHO_2021_AQG_Scen_Base","3145500","594","15.4","15.5","2532","1936","2821","28000","21407","31204"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Suburban","2012","O3","WHO_2021_AQG_Scen_Base","123334","110","3382.7","3342.9","5","4","6","58","46","70"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Suburban","2012","PM10","WHO_2021_AQG_Scen_Base","123334","110","19.9","20.0","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Suburban","2012","PM2.5","WHO_2021_AQG_Scen_Base","123334","110","15.1","15.1","96","73","107","1059","810","1181"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2012","O3","WHO_2021_AQG_Scen_Base","8228","97","3649.2","3571.2","0","0","0","4","3","5"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2012","PM10","WHO_2021_AQG_Scen_Base","8228","97","18.0","18.4","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2012","PM2.5","WHO_2021_AQG_Scen_Base","8228","97","14.1","14.3","6","4","7","65","50","73"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2012","PM2.5","WHO_2021_AQG_Scen_Sensitivity_2","3277062","801","15.2","15.5","3814","2929","4241","42180","32394","46902"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2012","PM2.5","WHO_2021_AQG_Scen_Sensitivity_2","3145500","594","15.4","15.5","3665","2814","4075","40530","31127","45067"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Suburban","2012","PM2.5","WHO_2021_AQG_Scen_Sensitivity_2","123334","110","15.1","15.1","140","108","156","1552","1192","1726"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2012","PM2.5","WHO_2021_AQG_Scen_Sensitivity_2","8228","97","14.1","14.3","9","7","10","98","75","109"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2013","NO2","WHO_2005_HRAPIE_Scen_Base","3285050","801","21.6","25.6","1073","617","1529","11658","6706","16609"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2013","O3","WHO_2005_HRAPIE_Scen_Base","3285050","801","3758.2","3716.9","103","50","153","1159","560","1717"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2013","PM10","WHO_2005_HRAPIE_Scen_Base","3285050","801","20.1","20.5","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2013","PM2.5","WHO_2005_HRAPIE_Scen_Base","3285050","801","14.8","14.9","2987","1978","3903","32432","21473","42376"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2013","NO2","WHO_2005_HRAPIE_Scen_Base","3153167","594","24.1","26.0","1071","616","1526","11633","6692","16573"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2013","O3","WHO_2005_HRAPIE_Scen_Base","3153167","594","3732.5","3717.2","99","48","147","1113","538","1648"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2013","PM10","WHO_2005_HRAPIE_Scen_Base","3153167","594","20.4","20.5","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Urban","2013","PM2.5","WHO_2005_HRAPIE_Scen_Base","3153167","594","14.9","14.9","2870","1900","3750","31160","20632","40714"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Suburban","2013","NO2","WHO_2005_HRAPIE_Scen_Base","123635","110","16.4","17.3","2","1","3","25","14","36"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Suburban","2013","O3","WHO_2005_HRAPIE_Scen_Base","123635","110","3729.4","3696.9","4","2","6","43","21","64"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Suburban","2013","PM10","WHO_2005_HRAPIE_Scen_Base","123635","110","20.0","20.1","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Suburban","2013","PM2.5","WHO_2005_HRAPIE_Scen_Base","123635","110","14.6","14.6","110","73","144","1194","790","1561"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2013","NO2","WHO_2005_HRAPIE_Scen_Base","8248","97","12.3","13.3","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2013","O3","WHO_2005_HRAPIE_Scen_Base","8248","97","3948.0","3887.9","0","0","0","3","1","5"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2013","PM10","WHO_2005_HRAPIE_Scen_Base","8248","97","18.4","18.7","0","0","0","0","0","0"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","Rural","2013","PM2.5","WHO_2005_HRAPIE_Scen_Base","8248","97","14.1","14.2","7","5","9","78","51","101"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2013","NO2","WHO_2021_AQG_Scen_Base","3285050","801","21.6","25.6","1064","539","2073","11547","5849","22508"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2013","O3","WHO_2021_AQG_Scen_Base","3285050","801","3758.2","3716.9","153","121","184","1717","1359","2074"
"Germany","DE3","Berlin","DE30","Berlin","DE300","Berlin","All Areas (incl.unclassified)","2013","PM10","WHO_2021_AQG_Scen_Base","3285050","801","20.1","20.5","0","0","0","0","0","0"
