date;code;PM10_day
02.12.22;mc085;26
03.12.22;mc085;36
04.12.22;mc085;43
05.12.22;mc085;29
06.12.22;mc085;12
07.12.22;mc085;10
08.12.22;mc085;13
09.12.22;mc085;16
10.12.22;mc085;18
11.12.22;mc085;17
12.12.22;mc085;12
13.12.22;mc085;18
01.10.22;mc117;13
02.10.22;mc117;10
03.10.22;mc117;11
04.10.22;mc117;13
05.10.22;mc117;15
06.10.22;mc117;14
07.10.22;mc117;19
08.10.22;mc117;14
09.10.22;mc117;13
10.10.22;mc117;16
11.10.22;mc117;15
12.10.22;mc117;21
13.10.22;mc117;28
14.10.22;mc117;25
15.10.22;mc117;17
16.10.22;mc117;11
17.10.22;mc117;19
18.10.22;mc117;17
19.10.22;mc117;10
20.10.22;mc117;15
21.10.22;mc117;21
22.10.22;mc117;17
23.10.22;mc117;16
24.10.22;mc117;31
25.10.22;mc117;16
26.10.22;mc117;18
27.10.22;mc117;20
28.10.22;mc117;23
29.10.22;mc117;29
30.10.22;mc117;35
31.10.22;mc117;40
01.11.22;mc117;31
02.11.22;mc117;16
03.11.22;mc117;18
04.11.22;mc117;20
05.11.22;mc117;18
06.11.22;mc117;17
07.11.22;mc117;14
08.11.22;mc117;13
09.11.22;mc117;12
10.11.22;mc117;15
11.11.22;mc117;17
12.11.22;mc117;25
13.11.22;mc117;25
14.11.22;mc117;36
15.11.22;mc117;34
16.11.22;mc117;29
17.11.22;mc117;20
18.11.22;mc117;24
19.11.22;mc117;18
20.11.22;mc117;20
21.11.22;mc117;23
22.11.22;mc117;26
23.11.22;mc117;28
24.11.22;mc117;38
25.11.22;mc117;29
26.11.22;mc117;27
27.11.22;mc117;23
28.11.22;mc117;29
29.11.22;mc117;37
30.11.22;mc117;46
01.12.22;mc117;42
02.12.22;mc117;32
03.12.22;mc117;43
04.12.22;mc117;47
05.12.22;mc117;32
06.12.22;mc117;13
07.12.22;mc117;12
08.12.22;mc117;17
09.12.22;mc117;23
10.12.22;mc117;22
11.12.22;mc117;20
12.12.22;mc117;16
13.12.22;mc117;24
01.10.22;mc124;16
02.10.22;mc124;13
03.10.22;mc124;12
04.10.22;mc124;18
05.10.22;mc124;21
06.10.22;mc124;20
07.10.22;mc124;26
08.10.22;mc124;19
09.10.22;mc124;14
10.10.22;mc124;20
11.10.22;mc124;21
12.10.22;mc124;23
13.10.22;mc124;42
14.10.22;mc124;32
15.10.22;mc124;20
16.10.22;mc124;14
17.10.22;mc124;25
18.10.22;mc124;24
19.10.22;mc124;16
20.10.22;mc124;15
21.10.22;mc124;25
22.10.22;mc124;24
23.10.22;mc124;19
24.10.22;mc124;19
25.10.22;mc124;20
26.10.22;mc124;22
27.10.22;mc124;25
28.10.22;mc124;28
29.10.22;mc124;36
30.10.22;mc124;42
31.10.22;mc124;51
01.11.22;mc124;37
02.11.22;mc124;22
03.11.22;mc124;18
04.11.22;mc124;25
05.11.22;mc124;20
06.11.22;mc124;17
07.11.22;mc124;17
08.11.22;mc124;15
09.11.22;mc124;15
10.11.22;mc124;22
11.11.22;mc124;21
12.11.22;mc124;31
13.11.22;mc124;25
14.11.22;mc124;35
15.11.22;mc124;36
16.11.22;mc124;29
17.11.22;mc124;20
18.11.22;mc124;27
19.11.22;mc124;25
20.11.22;mc124;21
21.11.22;mc124;26
22.11.22;mc124;26
23.11.22;mc124;29
24.11.22;mc124;41
25.11.22;mc124;38
26.11.22;mc124;29
27.11.22;mc124;25
28.11.22;mc124;28
29.11.22;mc124;38
30.11.22;mc124;46
01.12.22;mc124;41
02.12.22;mc124;33
03.12.22;mc124;44
04.12.22;mc124;51
05.12.22;mc124;37
06.12.22;mc124;16
07.12.22;mc124;15
08.12.22;mc124;21
09.12.22;mc124;23
10.12.22;mc124;25
11.12.22;mc124;22
12.12.22;mc124;17
13.12.22;mc124;36
01.10.22;mc143;17
02.10.22;mc143;15
03.10.22;mc143;13
04.10.22;mc143;17
05.10.22;mc143;21
06.10.22;mc143;17
07.10.22;mc143;24
08.10.22;mc143;19
09.10.22;mc143;16
10.10.22;mc143;20
11.10.22;mc143;21
12.10.22;mc143;27
13.10.22;mc143;38
14.10.22;mc143;35
15.10.22;mc143;21
16.10.22;mc143;18
17.10.22;mc143;27
18.10.22;mc143;23
19.10.22;mc143;14
20.10.22;mc143;17
21.10.22;mc143;25
22.10.22;mc143;24
23.10.22;mc143;20
24.10.22;mc143;19
25.10.22;mc143;19
26.10.22;mc143;23
27.10.22;mc143;26
28.10.22;mc143;28
29.10.22;mc143;35
30.10.22;mc143;47
31.10.22;mc143;48
01.11.22;mc143;37
02.11.22;mc143;19
03.11.22;mc143;20
04.11.22;mc143;23
05.11.22;mc143;18
06.11.22;mc143;17
07.11.22;mc143;16
08.11.22;mc143;17
09.11.22;mc143;16
10.11.22;mc143;18
11.11.22;mc143;21
12.11.22;mc143;30
13.11.22;mc143;25
14.11.22;mc143;38
15.11.22;mc143;39
16.11.22;mc143;29
17.11.22;mc143;22
18.11.22;mc143;26
19.11.22;mc143;20
20.11.22;mc143;21
21.11.22;mc143;27
22.11.22;mc143;29
23.11.22;mc143;34
24.11.22;mc143;45
25.11.22;mc143;36
26.11.22;mc143;28
27.11.22;mc143;26
28.11.22;mc143;32
29.11.22;mc143;41
30.11.22;mc143;50
01.12.22;mc143;43
02.12.22;mc143;34
03.12.22;mc143;43
04.12.22;mc143;47
05.12.22;mc143;36
06.12.22;mc143;22
07.12.22;mc143;16
08.12.22;mc143;20
09.12.22;mc143;24
10.12.22;mc143;24
11.12.22;mc143;22
12.12.22;mc143;16
13.12.22;mc143;26
01.10.22;mc171;15
02.10.22;mc171;12
03.10.22;mc171;13
04.10.22;mc171;15
05.10.22;mc171;17
06.10.22;mc171;15
07.10.22;mc171;21
08.10.22;mc171;17
09.10.22;mc171;14
10.10.22;mc171;17
11.10.22;mc171;20
12.10.22;mc171;24
13.10.22;mc171;40
14.10.22;mc171;28
15.10.22;mc171;20
16.10.22;mc171;14
17.10.22;mc171;22
18.10.22;mc171;19
19.10.22;mc171;11
20.10.22;mc171;14
21.10.22;mc171;21
22.10.22;mc171;20
23.10.22;mc171;17
24.10.22;mc171;14
25.10.22;mc171;13
26.10.22;mc171;18
27.10.22;mc171;20
28.10.22;mc171;20
29.10.22;mc171;27
30.10.22;mc171;39
31.10.22;mc171;39
01.11.22;mc171;28
02.11.22;mc171;16
03.11.22;mc171;19
04.11.22;mc171;38
05.11.22;mc171;17
06.11.22;mc171;16
