,Messkomponente,Feinstaub (PM10),"Feinstaub (PM2,5)",Stickstoffdioxid,Stickstoffmonoxid,Stickoxide,code,Ozon
95,Dez 2017,17.0,13.0,27.0,7.0,38.0,mc171,
96,Jan 2018,20.0,16.0,25.0,6.0,34.0,mc171,
97,Feb 2018,26.0,21.0,28.0,5.0,35.0,mc171,
98,Mär 2018,27.0,22.0,27.0,5.0,34.0,mc171,
99,Apr 2018,24.0,17.0,26.0,5.0,33.0,mc171,
100,Mai 2018,22.0,12.0,15.0,2.0,18.0,mc171,
101,Jun 2018,17.0,11.0,18.0,3.0,22.0,mc171,
102,Jul 2018,16.0,9.0,16.0,2.0,20.0,mc171,
103,Aug 2018,22.0,12.0,22.0,3.0,27.0,mc171,
104,Sep 2018,25.0,12.0,30.0,7.0,41.0,mc171,
105,Okt 2018,27.0,17.0,33.0,13.0,53.0,mc171,
106,Nov 2018,30.0,25.0,28.0,10.0,43.0,mc171,
107,Dez 2018,17.0,14.0,24.0,6.0,33.0,mc171,
108,Jan 2019,19.0,16.0,24.0,4.0,30.0,mc171,
109,Feb 2019,27.0,21.0,35.0,10.0,51.0,mc171,
110,Mär 2019,15.0,11.0,21.0,3.0,25.0,mc171,
111,Apr 2019,25.0,16.0,16.0,2.0,18.0,mc171,
112,Mai 2019,15.0,9.0,18.0,3.0,22.0,mc171,
113,Jun 2019,18.0,10.0,18.0,2.0,21.0,mc171,
114,Jul 2019,17.0,9.0,16.0,3.0,20.0,mc171,
115,Aug 2019,17.0,10.0,23.0,3.0,28.0,mc171,
116,Sep 2019,16.0,9.0,24.0,5.0,31.0,mc171,
117,Okt 2019,17.0,12.0,27.0,9.0,41.0,mc171,
118,Nov 2019,23.0,19.0,26.0,7.0,36.0,mc171,
119,Dez 2019,17.0,13.0,28.0,7.0,38.0,mc171,
120,Jan 2020,18.0,14.0,26.0,4.0,32.0,mc171,
121,Feb 2020,12.0,8.0,19.0,2.0,22.0,mc171,
122,Mär 2020,18.0,13.0,18.0,2.0,22.0,mc171,
123,Apr 2020,18.0,10.0,15.0,1.0,17.0,mc171,
124,Mai 2020,12.0,7.0,12.0,2.0,15.0,mc171,
125,Jun 2020,14.0,8.0,11.0,1.0,12.0,mc171,
126,Jul 2020,16.0,8.0,13.0,2.0,17.0,mc171,
127,Aug 2020,21.0,11.0,17.0,2.0,19.0,mc171,
128,Sep 2020,18.0,10.0,25.0,4.0,31.0,mc171,
129,Okt 2020,15.0,10.0,20.0,4.0,25.0,mc171,
130,Nov 2020,19.0,15.0,21.0,4.0,27.0,mc171,
131,Dez 2020,23.0,20.0,21.0,5.0,29.0,mc171,
132,Jan 2021,15.0,12.0,19.0,3.0,22.0,mc171,
